"chapter_index","chapter","dialogue_index","line_index","speaker","line","neutral","surprise","happiness","ambitious","anger","sadness","fear"
"18","Back to Lumière","0","0","Verso","Alicia?","0.7","0.3","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","0","1","Maelle","Actually, I prefer “Maelle.”","0.8","0.0","0.2","0.0","0.0","0.0","0.0"
"18","Back to Lumière","0","2","Verso","I think I do too. But I’m not really Verso, and you’re not really Maelle, are you?","0.9","0.0","0.0","0.0","0.0","0.1","0.0"
"18","Back to Lumière","0","3","Maelle","You’re not Verso, no. You look and sound just like him. But you’re you. I’m still Maelle though. You should’ve helped me remember.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","0","4","Verso","Yeah. I… I wanted to— but I… I’m sorry.","0.2","0.0","0.0","0.0","0.0","0.8","0.0"
"18","Back to Lumière","0","5","Maelle","I’m sorry too. If I’d listened to Maman— If I hadn’t trusted the Writers, Verso would still be alive, and you—","0.1","0.0","0.0","0.0","0.0","0.9","0.0"
"18","Back to Lumière","0","6","Verso","Wouldn’t exist.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","0","7","Maelle","Wouldn’t be caught in the middle. Maman did a terrible thing, painting you into Verso’s Canvas. Giving you his memories. Pretending the fire only took me. But I’m glad you exist.","0.0","0.0","0.4","0.0","0.0","0.6","0.0"
"18","Back to Lumière","0","8","Verso","Your father was right to erase everyone. It’s better this way.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","0","9","Maelle","Better for who? Verso would have never wanted his Canvas gone. He loved Esquie and his Gestrals and Grandis.","0.2","0.0","0.0","0.0","0.4","0.4","0.0"
"18","Back to Lumière","0","10","Verso","It was killing my… our mother, staying here so long in a make-believe world with her make-believe family.","0.4","0.0","0.0","0.0","0.0","0.6","0.0"
"18","Back to Lumière","0","11","Maelle","It’s not make-believe. It’s not… You’re not… To me. Papa’s here. He’ll help me fix Lumière.","0.3","0.0","0.0","0.0","0.0","0.5","0.2"
"18","Back to Lumière","0","12","Verso","Will he?","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","0","13","Maelle","Maman painted a rather unflattering portrait of him. He’s much warmer than the Renoir you know.","0.8","0.0","0.2","0.0","0.0","0.0","0.0"
"18","Back to Lumière","0","14","Verso","I bet.","0.9","0.0","0.1","0.0","0.0","0.0","0.0"
"18","Back to Lumière","1","0","Verso","Your father was the one erasing everyone. Why would he help repaint everything?","0.8","0.0","0.0","0.0","0.0","0.2","0.0"
"18","Back to Lumière","1","1","Maelle","I hid the Canvas before I entered, so Maman can’t come back again. There’s no need to erase the Canvas anymore.","0.7","0.0","0.0","0.3","0.0","0.0","0.0"
"18","Back to Lumière","1","2","Verso","He’ll want you to go home.","0.8","0.0","0.0","0.0","0.0","0.2","0.0"
"18","Back to Lumière","1","3","Maelle","I’m not at risk like Maman. I haven’t been in this Canvas that long. Besides, Papa has a soft spot for me, he’ll listen.","0.6","0.0","0.0","0.4","0.0","0.0","0.0"
"18","Back to Lumière","1","4","Verso","Hmm.","0.9","0.0","0.1","0.0","0.0","0.0","0.0"
"18","Back to Lumière","2","0","Maelle","Papa!","0.0","0.3","0.7","0.0","0.0","0.0","0.0"
