"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"11","Monoco’s Station","0","0","Verso","Follow the tracks, they’ll lead us to Monoco.","0.0","0.7","0.0","0.0","0.0","0.0","0.3"
"11","Monoco’s Station","0","1","Maelle","A train. Gustave would have liked to see that.","0.0","0.0","0.0","0.0","0.8","0.0","0.2"
"11","Monoco’s Station","0","2","Lune","Is it true, before the Fracture, Lumière had trains running throughout the continent?","0.0","0.0","0.4","0.0","0.0","0.0","0.6"
"11","Monoco’s Station","0","3","Verso","Always running late, but running, yes.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","2","0","Verso","If Monoco’s not here, that means– Slow as ever, mon vieux.","0.0","0.0","0.0","0.3","0.0","0.0","0.7"
"11","Monoco’s Station","2","1","Monoco","Your reflexes remain sharp as ever. I approve.","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"11","Monoco’s Station","2","2","Esquie","MOMO!","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"11","Monoco’s Station","2","3","Monoco","Esquie! Did Verso pull you into another adventure? Mmm. New friends?","0.6","0.0","0.2","0.0","0.0","0.0","0.2"
"11","Monoco’s Station","2","4","Lune","You speak our language?","0.0","0.0","0.7","0.0","0.0","0.0","0.3"
"11","Monoco’s Station","2","5","Verso","We had a lot of time to kill, so I taught him.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"11","Monoco’s Station","2","6","Monoco","Ladies. Could I OW– interest you in a duel?","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"11","Monoco’s Station","2","7","Maelle","Yep, definitely a Gestral.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","2","8","Verso","No point trying to talk until we’ve calmed Monoco down with a “relaxing” fight. Be careful though, Monoco’s fighting style is a bit… peculiar.","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"11","Monoco’s Station","3","0","Noco","(gibberish) Woo, woo, woo, woo, woo! NEVRON!! Oh, hi.","0.7","0.0","0.2","0.0","0.0","0.0","0.1"
"11","Monoco’s Station","3","1","Monoco","No distractions, son! I’m really busy beating up strangers.","0.0","0.0","0.0","0.3","0.0","0.0","0.7"
"11","Monoco’s Station","3","2","Maelle","Noco! What’re you doing here?","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","3","3","Noco","(gibberish) Even with Esquie, you’re still so slow! Oh! Where’s the man with the weird arm?","0.0","0.0","0.6","0.0","0.0","0.0","0.4"
"11","Monoco’s Station","3","4","Verso","Uh. Noco, you said Nevron?","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","3","5","Noco","(gibberish) Oh, yeah! A Stalact is approaching! The Grandis are taking cover. Come on, come on!","0.0","0.0","0.6","0.0","0.0","0.0","0.4"
"11","Monoco’s Station","3","6","Monoco","Oh. Hm. A Stalact.","0.0","0.0","0.0","0.0","0.0","0.4","0.6"
"11","Monoco’s Station","4","0","Monoco","Friends of Verso. As “Honoured Guests,” the first fight is yours! Defeat the Stalact with your fearsome talents!","0.0","0.6","0.0","0.0","0.0","0.0","0.4"
"11","Monoco’s Station","4","1","Sciel","Right. Oh. You’re serious.","0.0","0.0","0.7","0.0","0.0","0.0","0.3"
"11","Monoco’s Station","4","2","Verso","Yes, he is. You little coward.","0.0","0.0","0.0","0.5","0.0","0.0","0.5"
"11","Monoco’s Station","5","0","Monoco","You’ve found worthy friends, Verso.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","1","Verso","Jealous?","0.4","0.0","0.0","0.0","0.0","0.0","0.6"
"11","Monoco’s Station","5","2","Sciel","What are you doing?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","5","3","Monoco","I just need… the foot. Ahah!","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","5","4","Verso","He transforms by collecting Nevron feet. Don’t ask me how it works, I’ve never understood.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","5","5","Monoco","Now that we’ve had some good battles to warm the spirits, to what do we owe the pleasure of your company?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","5","6","Verso","We are heading for Old Lumière.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","5","7","Monoco","Ok, bye.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","5","8","Verso","Hey, come on. Hey! Hey, look, I know we failed before, but– Look, you doofus, don’t you recognize her?","0.0","0.0","0.0","0.4","0.0","0.0","0.6"
"11","Monoco’s Station","5","9","Monoco","Of course, I do–","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
